Country,    Region, Residence, Ethnicity,   SocDem, Version, Ref-ID,   Year1,   Year2, TypeLT,   Sex,   Age, AgeInt,              m(x),         q(x),        l(x),        d(x),         L(x),         T(x),       e(x),   e(x)Orig
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,     0,      1,           0.18305,      0.16359,      100000,       16359,        89367,      3992242,       39.92,       39.91
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,     1,      1,           0.06643,      0.06430,       83641,        5378,        80952,      3902876,       46.66,       46.65
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,     2,      1,           0.03680,      0.03613,       78263,        2828,        76849,      3821924,       48.83,       48.83
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,     3,      1,           0.02347,      0.02320,       75435,        1750,        74560,      3745075,       49.65,       49.61
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,     4,      1,           0.01798,      0.01782,       73685,        1313,        73028,      3670515,       49.81,       49.81
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,     5,      1,           0.01369,      0.01360,       72372,         984,        71880,      3597486,       49.71,       49.71
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,     6,      1,           0.01087,      0.01081,       71388,         772,        71002,      3525606,       49.39,       49.39
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,     7,      1,           0.00920,      0.00916,       70616,         647,        70292,      3454604,       48.92,       48.92
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,     8,      1,           0.00766,      0.00763,       69969,         534,        69702,      3384312,       48.37,       48.37
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,     9,      1,           0.00649,      0.00647,       69435,         449,        69210,      3314610,       47.74,       47.74
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,    10,      1,           0.00564,      0.00562,       68986,         388,        68792,      3245399,       47.04,       47.05
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,    11,      1,           0.00507,      0.00506,       68598,         347,        68424,      3176607,       46.31,       46.31
    GBR,      ENW0,      0000,      0000,     0000,       1,  418.1,    1838,    1854,      1,     1,    12,      1,           0.00477,      0.00476,       68251,         325,        68088,      3108183,       45.54,       45.54
